date,amount,category,merchant,type
2025-01-01,-45.23,Groceries,Trader Joe's,debit
2025-01-01,-12.50,Dining,Starbucks,debit
2025-01-01,4250.00,Salary,Employer Direct Deposit,credit
2025-01-01,-89.99,Shopping,Amazon,debit
2025-01-02,-156.78,Groceries,Whole Foods,debit
2025-01-02,-34.50,Transportation,Shell Gas,debit
2025-01-02,-67.89,Dining,Olive Garden,debit
2025-01-03,-125.00,Utilities,Pacific Gas & Electric,debit
2025-01-03,-42.30,Entertainment,Netflix,debit
2025-01-03,875.00,Freelance,Client Payment,credit
2025-01-04,-78.45,Groceries,Costco,debit
2025-01-04,-29.99,Subscriptions,Adobe Creative,debit
2025-01-04,-55.00,Transportation,Uber,debit
2025-01-05,-1850.00,Rent,Property Management LLC,debit
2025-01-05,-234.56,Shopping,Best Buy,debit
2025-01-05,1200.00,Freelance,Upwork Transfer,credit
2025-01-06,-67.89,Groceries,Safeway,debit
2025-01-06,-45.00,Dining,Chipotle,debit
2025-01-06,-150.00,Insurance,State Farm,debit
2025-01-07,-89.12,Healthcare,CVS Pharmacy,debit
2025-01-07,-23.45,Entertainment,Spotify,debit
2025-01-07,350.00,Investment,Dividend Payment,credit
2025-01-08,-134.56,Groceries,Kroger,debit
2025-01-08,-78.90,Shopping,Target,debit
2025-01-08,-45.67,Dining,Panera Bread,debit
2025-01-09,-56.78,Transportation,BP Station,debit
2025-01-09,-167.89,Utilities,Comcast Internet,debit
2025-01-09,5100.00,Salary,Payroll Services Inc,credit
2025-01-10,-92.34,Groceries,Aldi,debit
2025-01-10,-34.56,Dining,Five Guys,debit
2025-01-10,-245.00,Healthcare,Kaiser Permanente,debit
2025-01-11,-78.12,Shopping,Walmart,debit
2025-01-11,-15.99,Subscriptions,Microsoft 365,debit
2025-01-11,125.00,Refund,Amazon Refund,credit
2025-01-12,-112.34,Groceries,Publix,debit
2025-01-12,-67.00,Transportation,Lyft,debit
2025-01-12,-38.45,Dining,Subway,debit
2025-01-13,-289.00,Insurance,Geico,debit
2025-01-13,-145.67,Shopping,Home Depot,debit
2025-01-13,780.00,Freelance,Consulting Fee,credit
2025-01-14,-98.76,Groceries,Trader Joe's,debit
2025-01-14,-56.34,Dining,Chick-fil-A,debit
2025-01-14,-78.90,Utilities,City Water,debit
2025-01-15,-167.23,Groceries,Whole Foods,debit
2025-01-15,4250.00,Salary,Employer Direct Deposit,credit
2025-01-15,-345.00,Shopping,Nordstrom,debit
2025-01-16,-45.89,Transportation,EV Charging Co,debit
2025-01-16,-23.45,Entertainment,AMC Theaters,debit
2025-01-16,-89.12,Dining,Olive Garden,debit
2025-01-17,-178.90,Healthcare,Walgreens,debit
2025-01-17,-56.78,Groceries,Costco,debit
2025-01-17,450.00,Investment,Capital Gains,credit
2025-01-18,-34.56,Subscriptions,Dropbox,debit
2025-01-18,-123.45,Shopping,IKEA,debit
2025-01-18,-67.89,Transportation,Metro Transit,debit
2025-01-19,-89.23,Groceries,Safeway,debit
2025-01-19,-45.67,Dining,Chipotle,debit
2025-01-19,-156.78,Utilities,AT&T Wireless,debit
2025-01-20,-234.56,Shopping,Amazon,debit
2025-01-20,-78.90,Groceries,Kroger,debit
2025-01-20,1500.00,Freelance,Contract Work,credit
2025-01-21,-56.34,Dining,Starbucks,debit
2025-01-21,-345.67,Insurance,Progressive,debit
2025-01-21,-23.45,Entertainment,Steam,debit
2025-01-22,-145.67,Groceries,Aldi,debit
2025-01-22,-89.12,Healthcare,Quest Diagnostics,debit
2025-01-22,-67.89,Transportation,Shell Gas,debit
2025-01-23,-98.45,Dining,Five Guys,debit
2025-01-23,-234.56,Shopping,Best Buy,debit
2025-01-23,5100.00,Salary,Payroll Services Inc,credit
2025-01-24,-112.34,Groceries,Publix,debit
2025-01-24,-45.67,Transportation,Uber,debit
2025-01-24,-189.00,Utilities,Verizon,debit
2025-01-25,-78.90,Dining,Panera Bread,debit
2025-01-25,-1850.00,Rent,Greenfield Apartments,debit
2025-01-25,200.00,Refund,Store Credit Return,credit
2025-01-26,-56.78,Groceries,Trader Joe's,debit
2025-01-26,-34.56,Entertainment,PlayStation Store,debit
2025-01-26,-167.89,Shopping,Target,debit
2025-01-27,-89.12,Healthcare,Anthem Insurance,debit
2025-01-27,-45.67,Dining,Subway,debit
2025-01-27,950.00,Investment,Bond Interest,credit
2025-01-28,-123.45,Groceries,Whole Foods,debit
2025-01-28,-78.90,Transportation,Lyft,debit
