date,revenue,cogs,operating_expenses,marketing,salaries,rent,utilities,net_income
2023-01-01,798542.31,303046.08,143737.62,71868.81,179280.00,45225.00,14520.00,40864.80
2023-02-01,826318.45,314001.01,148737.32,82631.85,180610.00,44887.50,11418.00,44032.77
2023-03-01,891472.60,338759.59,160465.07,107576.71,183750.00,45450.00,10800.00,44671.23
2023-04-01,962145.82,365615.41,173186.25,130530.78,186200.00,44775.00,12360.00,49478.38
2023-05-01,1012384.75,384706.21,182229.26,141733.87,189320.00,45337.50,14880.00,54178.91
2023-06-01,1028573.90,390858.08,185143.30,123428.87,191100.00,45000.00,15000.00,78043.65
2023-07-01,998245.67,379413.35,179684.22,89842.11,193560.00,45112.50,14640.00,95993.49
2023-08-01,945618.34,359334.97,170211.30,75649.47,195870.00,44662.50,12960.00,86930.10
2023-09-01,912347.28,346692.37,164222.51,82111.26,198450.00,45225.00,11160.00,64486.14
2023-10-01,878934.56,334115.13,158208.22,96882.80,200340.00,45562.50,10920.00,32905.91
2023-11-01,855213.42,325181.10,153938.42,111177.74,203010.00,44550.00,12480.00,4876.16
2023-12-01,862478.91,327742.19,155246.20,120747.05,205800.00,45675.00,14760.00,-7491.53
2024-01-01,905742.18,344482.03,163033.59,81516.80,207900.00,46125.00,14880.00,47805.76
2024-02-01,948315.62,360361.34,170696.81,94831.56,210350.00,46800.00,11760.00,53516.91
2024-03-01,1021847.35,388302.00,183932.52,123343.32,212520.00,47025.00,10680.00,56044.51
2024-04-01,1098524.78,417440.42,197734.46,149399.37,215250.00,46350.00,12600.00,59750.53
2024-05-01,1152871.34,438091.11,207516.84,161401.99,217560.00,47175.00,15120.00,66006.40
2024-06-01,1178432.56,447804.37,212117.86,141411.91,220150.00,46500.00,15360.00,95088.42
2024-07-01,1142568.92,434176.19,205662.41,102831.20,222810.00,47250.00,14400.00,115439.12
2024-08-01,1087234.15,413148.98,195702.15,86978.73,225120.00,46875.00,13200.00,106209.29
2024-09-01,1048672.83,398578.68,188761.11,94380.55,227760.00,46575.00,10920.00,81697.49
2024-10-01,1012345.67,384691.36,182222.22,111357.02,230100.00,47400.00,11040.00,45535.07
2024-11-01,982156.43,373219.44,176788.16,127680.34,232200.00,46950.00,12720.00,12598.49
2024-12-01,998734.21,379721.00,179772.16,139822.79,234900.00,47325.00,14520.00,2673.26
2025-01-01,1042518.73,396157.12,187653.37,93826.69,237450.00,48000.00,15240.00,64191.55
2025-02-01,1098742.56,417522.17,197773.66,109874.26,239850.00,47550.00,11520.00,74652.47
2025-03-01,1182345.89,449291.44,212822.26,142883.79,242100.00,48375.00,10560.00,76313.40
2025-04-01,1268431.22,482004.86,228317.62,172266.64,244650.00,47700.00,12840.00,80652.10
2025-05-01,1328745.67,504922.35,239174.22,185624.39,247200.00,48525.00,15480.00,87819.71
2025-06-01,1362518.34,517757.97,245253.30,163502.20,249300.00,48000.00,15600.00,123105.87
2025-07-01,1318924.56,501299.33,237406.42,118703.21,252150.00,48750.00,14160.00,146455.60
2025-08-01,1254312.78,476639.26,225776.30,100345.02,254700.00,48150.00,13440.00,135262.20
2025-09-01,1208547.92,459248.21,217538.63,108769.31,257400.00,48375.00,10680.00,106536.77
2025-10-01,1165823.45,443012.91,209848.22,128240.58,259800.00,48900.00,11280.00,64741.74
2025-11-01,1132456.78,430334.58,203842.22,147219.38,262350.00,48450.00,13080.00,27180.60
2025-12-01,1158234.56,440129.13,208482.22,162152.84,265200.00,49125.00,14880.00,18265.37
