date,product,region,amount,quantity,category
2023-01-03,Laptop Pro 15,North America,1245.99,3,Electronics
2023-01-05,Wireless Mouse,Europe,45.50,12,Accessories
2023-01-07,Standing Desk,Asia Pacific,549.00,2,Furniture
2023-01-08,Noise-Cancel Headset,North America,249.99,5,Audio
2023-01-10,External SSD 1TB,Europe,119.95,8,Storage
2023-01-12,Monitor 27",North America,449.00,4,Electronics
2023-01-14,Mechanical Keyboard,Latin America,129.99,7,Accessories
2023-01-16,4K Webcam,Asia Pacific,149.00,6,Electronics
2023-01-18,Bluetooth Speaker,Middle East,89.99,10,Audio
2023-01-20,Smart Watch,North America,349.00,3,Wearables
2023-01-22,USB-C Hub,Europe,59.99,15,Accessories
2023-01-24,Tablet 10",North America,449.99,2,Electronics
2023-01-26,Power Bank 20K,Asia Pacific,45.00,20,Accessories
2023-01-28,Ergonomic Chair,North America,499.00,1,Furniture
2023-01-30,Desk Lamp LED,Europe,49.99,9,Furniture
2023-02-01,Phone Case Premium,Africa,29.99,25,Accessories
2023-02-03,Screen Protector,North America,14.99,22,Accessories
2023-02-05,HDMI Cable 6ft,Latin America,15.99,18,Accessories
2023-02-07,Wireless Charger,Asia Pacific,39.99,11,Accessories
2023-02-09,Laptop Sleeve,Europe,34.99,14,Accessories
2023-02-11,Laptop Pro 15,North America,1099.00,2,Electronics
2023-02-13,Monitor 27",Asia Pacific,399.00,3,Electronics
2023-02-15,Noise-Cancel Headset,Europe,279.99,4,Audio
2023-02-17,Standing Desk,North America,699.00,1,Furniture
2023-02-19,External SSD 1TB,Middle East,99.99,7,Storage
2023-02-21,Mechanical Keyboard,North America,159.99,6,Accessories
2023-02-23,4K Webcam,Europe,129.00,8,Electronics
2023-02-25,Wireless Mouse,Latin America,34.99,16,Accessories
2023-02-27,Bluetooth Speaker,North America,149.99,5,Audio
2023-03-01,Smart Watch,Asia Pacific,299.00,4,Wearables
2023-03-03,USB-C Hub,North America,79.99,10,Accessories
2023-03-05,Tablet 10",Europe,399.99,2,Electronics
2023-03-07,Ergonomic Chair,North America,599.00,1,Furniture
2023-03-09,Power Bank 20K,Africa,55.00,15,Accessories
2023-03-11,Desk Lamp LED,Asia Pacific,39.99,12,Furniture
2023-03-13,Phone Case Premium,North America,24.99,20,Accessories
2023-03-15,Laptop Pro 15,Europe,1349.00,3,Electronics
2023-03-17,Screen Protector,Middle East,12.99,25,Accessories
2023-03-19,HDMI Cable 6ft,North America,19.99,14,Accessories
2023-03-21,Wireless Charger,Asia Pacific,49.99,9,Accessories
2023-03-23,Monitor 27",North America,529.00,2,Electronics
2023-03-25,Noise-Cancel Headset,Latin America,199.99,6,Audio
2023-03-27,Standing Desk,Europe,449.00,2,Furniture
2023-03-29,External SSD 1TB,North America,139.95,5,Storage
2023-03-31,Mechanical Keyboard,Asia Pacific,89.99,8,Accessories
2023-04-02,Laptop Pro 15,North America,1189.00,4,Electronics
2023-04-04,4K Webcam,Europe,169.00,7,Electronics
2023-04-06,Wireless Mouse,North America,69.50,11,Accessories
2023-04-08,Bluetooth Speaker,Asia Pacific,119.99,6,Audio
2023-04-10,Smart Watch,Middle East,399.00,2,Wearables
2023-04-12,USB-C Hub,North America,49.99,13,Accessories
2023-04-14,Tablet 10",Latin America,349.99,3,Electronics
2023-04-16,Ergonomic Chair,Europe,449.00,2,Furniture
2023-04-18,Power Bank 20K,North America,39.00,18,Accessories
