date,open,high,low,close,volume
2025-01-02,150.00,152.34,149.12,151.28,4523100
2025-01-03,151.28,153.67,150.45,152.91,3891200
2025-01-06,152.91,154.18,151.73,153.42,5214300
2025-01-07,153.42,155.21,152.88,154.67,4102500
2025-01-08,154.67,155.89,153.24,153.98,6318700
2025-01-09,153.98,155.43,153.11,155.12,3745600
2025-01-10,155.12,156.78,154.56,156.34,4892100
2025-01-13,156.34,157.92,155.18,157.45,3567800
2025-01-14,157.45,158.67,156.23,156.89,5123400
2025-01-15,156.89,158.34,155.91,158.12,4234500
2025-01-16,158.12,159.45,157.34,158.78,3912300
2025-01-17,158.78,160.12,157.89,159.56,4567800
2025-01-20,159.56,160.34,158.12,158.45,5234100
2025-01-21,158.45,159.78,157.23,159.12,3891200
2025-01-22,159.12,161.23,158.67,160.89,4712300
2025-01-23,160.89,162.45,159.78,161.34,5123400
2025-01-24,161.34,162.89,160.12,162.12,3456700
2025-01-27,162.12,163.45,161.23,161.78,4891200
2025-01-28,161.78,163.12,160.45,162.56,3234500
2025-01-29,162.56,164.23,161.89,163.45,5678900
2025-01-30,163.45,164.78,162.34,163.12,4123400
2025-01-31,163.12,164.56,161.78,164.23,3567800
2025-02-03,164.23,165.89,163.45,165.12,4891200
2025-02-04,165.12,166.45,164.23,165.78,3234500
2025-02-05,165.78,167.12,164.89,166.34,5412300
2025-02-06,166.34,167.89,165.12,167.23,4567800
2025-02-07,167.23,168.56,166.45,166.89,3891200
2025-02-10,166.89,168.23,165.67,167.56,4234500
2025-02-11,167.56,169.12,166.78,168.45,5123400
2025-02-12,168.45,169.78,167.23,168.12,3567800
2025-02-13,168.12,169.45,166.89,169.23,4891200
2025-02-14,169.23,170.56,168.34,170.12,3234500
2025-02-17,170.12,171.23,168.78,169.45,5678900
2025-02-18,169.45,170.89,168.12,170.34,4123400
2025-02-19,170.34,172.12,169.56,171.78,3567800
2025-02-20,171.78,173.23,170.89,172.45,4891200
2025-02-21,172.45,173.89,171.23,172.12,3234500
2025-02-24,172.12,173.45,170.56,171.34,5412300
2025-02-25,171.34,172.89,170.12,172.56,4567800
2025-02-26,172.56,174.12,171.78,173.45,3891200
2025-02-27,173.45,174.78,172.34,173.12,4234500
2025-02-28,173.12,174.56,171.89,174.23,5123400
2025-03-03,174.23,175.67,173.45,175.12,3567800
2025-03-04,175.12,176.34,174.23,175.89,4891200
2025-03-05,175.89,177.12,174.56,176.45,3234500
2025-03-06,176.45,178.23,175.67,177.34,5678900
2025-03-07,177.34,178.89,176.12,177.89,4123400
2025-03-10,177.89,179.23,176.45,178.56,3567800
2025-03-11,178.56,179.78,177.23,178.12,4891200
2025-03-12,178.12,179.45,176.89,179.23,3234500
2025-03-13,179.23,180.67,178.34,180.12,5412300
2025-03-14,180.12,181.34,179.12,179.56,4567800
2025-03-17,179.56,180.89,178.23,180.34,3891200
2025-03-18,180.34,182.12,179.56,181.45,4234500
2025-03-19,181.45,183.23,180.67,182.78,5123400
2025-03-20,182.78,184.12,181.45,183.34,3567800
2025-03-21,183.34,184.56,182.12,182.89,4891200
2025-03-24,182.89,184.23,181.56,183.67,3234500
2025-03-25,183.67,185.12,182.78,184.45,5678900
2025-03-26,184.45,185.89,183.34,185.12,4123400
2025-03-27,185.12,186.45,184.23,184.67,3567800
2025-03-28,184.67,185.89,183.45,185.34,4891200
2025-03-31,185.34,186.78,184.12,186.12,3234500
2025-04-01,186.12,187.45,185.23,186.89,5412300
2025-04-02,186.89,188.12,185.67,187.45,4567800
2025-04-03,187.45,188.89,186.34,187.12,3891200
2025-04-04,187.12,188.45,185.89,186.34,4234500
2025-04-07,186.34,187.78,185.12,187.56,5123400
2025-04-08,187.56,189.23,186.67,188.45,3567800
2025-04-09,188.45,190.12,187.34,189.78,4891200
2025-04-10,189.78,191.23,188.56,190.34,3234500
2025-04-11,190.34,191.78,189.12,189.67,5678900
2025-04-14,189.67,191.12,188.45,190.56,4123400
2025-04-15,190.56,192.34,189.67,191.23,3567800
2025-04-16,191.23,192.89,190.12,191.78,4891200
2025-04-17,191.78,193.12,190.45,192.34,3234500
2025-04-18,192.34,193.78,191.23,192.89,5412300
2025-04-21,192.89,194.12,191.56,193.45,4567800
2025-04-22,193.45,195.23,192.34,194.12,3891200
2025-04-23,194.12,195.67,192.89,193.56,4234500
2025-04-24,193.56,194.89,192.12,194.34,5123400
2025-04-25,194.34,195.78,193.23,195.12,3567800
2025-04-28,195.12,196.45,194.12,195.67,4891200
2025-04-29,195.67,197.12,194.56,196.34,3234500
2025-04-30,196.34,197.89,195.12,196.78,5678900
2025-05-01,196.78,198.23,195.67,197.45,4123400
2025-05-02,197.45,198.89,196.34,197.12,3567800
2025-05-05,197.12,198.56,195.89,196.45,4891200
2025-05-06,196.45,197.89,195.23,197.34,3234500
2025-05-07,197.34,199.12,196.45,198.56,5412300
2025-05-08,198.56,200.23,197.34,199.78,4567800
2025-05-09,199.78,201.12,198.67,200.34,3891200
2025-05-12,200.34,201.89,199.12,200.89,4234500
2025-05-13,200.89,202.34,199.67,201.45,5123400
2025-05-14,201.45,202.89,200.12,201.12,3567800
2025-05-15,201.12,202.45,199.89,200.56,4891200
2025-05-16,200.56,201.89,199.23,201.34,3234500
2025-05-19,201.34,203.12,200.45,202.56,5678900
2025-05-20,202.56,204.23,201.34,203.45,4123400
2025-05-21,203.45,204.89,202.12,203.12,3567800
2025-05-22,203.12,204.56,201.89,204.23,4891200
2025-05-23,204.23,205.67,203.12,204.89,3234500
2025-05-26,204.89,206.12,203.56,205.34,5412300
2025-05-27,205.34,206.89,204.23,206.12,4567800
2025-05-28,206.12,207.45,205.12,205.67,3891200
2025-05-29,205.67,207.12,204.45,206.45,4234500
2025-05-30,206.45,207.89,205.34,207.12,5123400
2025-06-02,207.12,208.56,206.12,207.89,3567800
2025-06-03,207.89,209.23,206.67,208.56,4891200
2025-06-04,208.56,210.12,207.45,209.34,3234500
2025-06-05,209.34,210.78,208.12,209.89,5678900
2025-06-06,209.89,211.23,208.67,210.45,4123400
2025-06-09,210.45,211.89,209.34,210.12,3567800
2025-06-10,210.12,211.45,208.89,209.56,4891200
2025-06-11,209.56,211.12,208.34,210.78,3234500
2025-06-12,210.78,212.34,209.56,211.23,5412300
2025-06-13,211.23,212.89,210.12,211.78,4567800
2025-06-16,211.78,213.12,210.56,212.34,3891200
2025-06-17,212.34,213.78,211.23,212.89,4234500
2025-06-18,212.89,214.23,211.67,213.45,5123400
2025-06-19,213.45,214.89,212.12,213.12,3567800
2025-06-20,213.12,214.56,211.89,214.23,4891200
2025-06-23,214.23,215.67,213.12,214.89,3234500
2025-06-24,214.89,216.12,213.56,215.34,5678900
2025-06-25,215.34,216.89,214.23,215.89,4123400
2025-06-26,215.89,217.23,214.67,216.45,3567800
2025-06-27,216.45,217.89,215.34,216.12,4891200
2025-06-30,216.12,217.56,214.89,215.67,3234500
2025-07-01,215.67,217.12,214.45,216.34,5412300
2025-07-02,216.34,218.23,215.23,217.56,4567800
2025-07-03,217.56,219.12,216.34,218.12,3891200
2025-07-07,218.12,219.78,216.89,217.45,4234500
2025-07-08,217.45,218.89,216.12,218.34,5123400
2025-07-09,218.34,220.12,217.23,219.56,3567800
2025-07-10,219.56,221.23,218.34,220.12,4891200
2025-07-11,220.12,221.67,218.89,219.45,3234500
2025-07-14,219.45,220.89,218.12,220.34,5678900
2025-07-15,220.34,222.12,219.23,221.56,4123400
2025-07-16,221.56,223.23,220.34,222.12,3567800
2025-07-17,222.12,223.67,220.89,221.45,4891200
2025-07-18,221.45,222.89,220.12,222.34,3234500
2025-07-21,222.34,224.12,221.23,223.56,5412300
2025-07-22,223.56,225.23,222.34,224.12,4567800
2025-07-23,224.12,225.78,222.89,223.45,3891200
2025-07-24,223.45,224.89,222.12,224.34,4234500
2025-07-25,224.34,226.12,223.23,225.12,5123400
2025-07-28,225.12,226.67,224.12,224.56,3567800
2025-07-29,224.56,226.12,223.34,225.45,4891200
2025-07-30,225.45,227.23,224.34,226.34,3234500
2025-07-31,226.34,227.89,225.12,226.89,5678900
2025-08-01,226.89,228.23,225.67,227.45,4123400
2025-08-04,227.45,228.89,226.12,226.78,3567800
2025-08-05,226.78,228.34,225.56,227.56,4891200
2025-08-06,227.56,229.12,226.34,228.34,3234500
2025-08-07,228.34,229.78,227.12,228.89,5412300
2025-08-08,228.89,230.23,227.56,229.45,4567800
2025-08-11,229.45,230.89,228.12,229.12,3891200
2025-08-12,229.12,230.56,227.89,228.45,4234500
2025-08-13,228.45,230.12,227.23,229.34,5123400
2025-08-14,229.34,231.23,228.12,230.45,3567800
2025-08-15,230.45,231.89,229.34,230.12,4891200
2025-08-18,230.12,231.45,228.89,229.56,3234500
2025-08-19,229.56,231.12,228.34,230.34,5678900
2025-08-20,230.34,232.23,229.12,231.12,4123400
