month,department,revenue,expenses,net_profit,profit_margin,budget,operating_costs,headcount,quarter
2023-01-01,Sales,485000,312000,173000,35.67,470000,198000,45,Q1 2023
2023-01-01,Engineering,320000,289000,31000,9.69,310000,245000,62,Q1 2023
2023-01-01,Marketing,215000,178000,37000,17.21,225000,142000,28,Q1 2023
2023-01-01,Operations,180000,156000,24000,13.33,175000,128000,35,Q1 2023
2023-01-01,Finance,145000,98000,47000,32.41,140000,72000,18,Q1 2023
2023-01-01,HR,95000,82000,13000,13.68,100000,65000,12,Q1 2023
2023-02-01,Sales,492000,318000,174000,35.37,470000,201000,45,Q1 2023
2023-02-01,Engineering,328000,295000,33000,10.06,310000,249000,63,Q1 2023
2023-02-01,Marketing,222000,184000,38000,17.12,225000,147000,28,Q1 2023
2023-02-01,Operations,185000,159000,26000,14.05,175000,131000,35,Q1 2023
2023-02-01,Finance,148000,101000,47000,31.76,140000,74000,18,Q1 2023
2023-02-01,HR,97000,84000,13000,13.40,100000,67000,12,Q1 2023
2023-03-01,Sales,510000,325000,185000,36.27,470000,206000,46,Q1 2023
2023-03-01,Engineering,335000,298000,37000,11.04,310000,252000,63,Q1 2023
2023-03-01,Marketing,230000,189000,41000,17.83,225000,151000,29,Q1 2023
2023-03-01,Operations,188000,161000,27000,14.36,175000,133000,36,Q1 2023
2023-03-01,Finance,152000,103000,49000,32.24,140000,76000,18,Q1 2023
2023-03-01,HR,99000,86000,13000,13.13,100000,68000,12,Q1 2023
2023-04-01,Sales,525000,332000,193000,36.76,500000,210000,47,Q2 2023
2023-04-01,Engineering,342000,304000,38000,11.11,320000,257000,64,Q2 2023
2023-04-01,Marketing,235000,192000,43000,18.30,230000,154000,29,Q2 2023
2023-04-01,Operations,192000,164000,28000,14.58,180000,135000,36,Q2 2023
2023-04-01,Finance,155000,105000,50000,32.26,145000,77000,19,Q2 2023
2023-04-01,HR,101000,87000,14000,13.86,102000,69000,13,Q2 2023
2023-05-01,Sales,538000,339000,199000,36.99,500000,215000,47,Q2 2023
2023-05-01,Engineering,349000,309000,40000,11.46,320000,261000,65,Q2 2023
